Datetime,Tweet
2016-12-24 17:08:23+00:00,@Uber_Support hi there I registered for the Budweiser free ride but haven't yet received my code?
2016-12-24 04:19:41+00:00,@uber @Uber_Support All I want for Christmas is for my claim to be settled after my account and credit card was hacked #badcustomerservice
2016-12-24 02:32:31+00:00,he ain't no snitch
2016-12-24 00:54:56+00:00,My driver calls to tell me where they want me to move from where I am to meet them. 10s later I'm charged $5. @Uber_Support I want a refund. 
2016-12-23 22:32:35+00:00,"I think @Uber should really consider adding the ""Assist"" promo code for special needs riders in #SaudiArabia @uber_support @Uber_KSA #a11y"
2016-12-23 20:27:38+00:00,its ok he was hot
2016-12-23 16:35:39+00:00,"This doesn't sound right, @Uber_Support. Why are surge priced @uber trips being replaced with a closer non-surge trip? via @ben_wallace"
2016-12-23 16:17:36+00:00,i aint no snitch
2016-12-23 14:53:47+00:00,This is the driver. Her name is Canila oil or something like that. TERRIBLE service
2016-12-23 14:47:06+00:00,"Hi @Uber_Support I would like to report a driver. she was so rude &amp; she forced me to listen to her ""singing"" because she's going be ""solo"""
2016-12-23 10:14:02+00:00,+ his account was flagged as 'suspicious'. Now @Uber_Support says they can't help him! How ridiculous that can it get @Uber ?
2016-12-23 07:21:48+00:00,This is a matter of concern @Uber_Support . cc @ShwetaRKohli @travisk
2016-12-23 06:57:55+00:00,"With shady internet, in case people are in hurry, you find wifi to email? @Uber_Support this is pathetic. "
2016-12-23 04:50:43+00:00,"Weird. @Uber says, 3 rides of MasterCard, gives you 1 ride free. After taking 2 rides, it goes back to 0. How @Uber_Support? "
2016-12-23 01:16:14+00:00,Hi @Uber_Support one of your drivers called me a fat cunt then pushed me out of the car on the highway. This was her pic.twitter.com/aIgSFyazIK
2016-12-22 19:19:50+00:00,"So driver switched off phone, didn't turn up & still @Uber_Support charged me for driver cancelling trip. "
2016-12-22 16:47:30+00:00,snitch
2016-12-22 16:40:22+00:00,"Dear @Uber_Support .in cases whr uber maps shows my cab in water(as per pic),do I wait on land fr it or take a ferry to reach it.plz advise "
2016-12-22 04:41:40+00:00,Man vs comp battle - @Uber_Support insists I follow Ubers gps directions only.Gmaps show me a jam ahead &amp; alt free routes available.but...
2016-12-22 03:53:29+00:00,.@Uber_Support @Uber It's your job to ensure this man is convicted ! Just firing him is not good enough ! #SafeCity @CSR_India @isfsd_csr
2016-12-21 22:33:20+00:00,.@Uber_Support Thank you. No - it's ok. Sorted out in the end... Very helpful staff your end dealt with it :) Frustrating but all good... 
2016-12-21 21:39:06+00:00,I'm still waiting to hear back from @Uber @Uber_Support about the driver who refused to give me &amp; my guide dog a ride today.
2016-12-21 20:33:20+00:00,.@Uber_Support my drivers system was broken and didn't call me and didn't cancel the ride so i had to sit here for 15 minutes to pay 2.50
2016-12-21 20:15:31+00:00,"I don't get how you can be as big of a company as Uber, run a multiple twitter accounts, but lack a customer service line @Uber_Support"
2016-12-21 17:35:18+00:00,"Finger hovering over the ""Uninstall"" button for my Uber app. #ToeTapping"
2016-12-21 14:16:23+00:00,@Uber_Support BOTH JOURNEYS EXACTLY THE SAME WHY WAS LAST NIGHTS UBER £32?????? 
2016-12-21 11:44:04+00:00,"So, @Uber charges me for a ride I didn't take, and doesn't let me book a cab unless I pay for the ride. What nonsense, @Uber_Support? #FAIL"
2016-12-21 08:52:45+00:00,Experiencing some problems with my Uber account again... any help @Uber_Support ?? Thanks
2016-12-21 05:46:38+00:00,"If @Uber &amp; @Uber_Support actually want to tackle ableism in yr company, provide in-app reporting options for discrimination. Listen to us."
2016-12-21 04:17:50+00:00,@Uber_Support sent this AFTER 4TH TIME A DRIVER WROTE FULL DETAILED REPORT. Notice at the very top of @Uber reply is category of concern.
2016-12-20 22:14:43+00:00,"Not sure what's worse, @Uber's drivers or the self-driving cars. All violate bike lane rules! @Uber_Support https://www.theguardian.com/technology/2016/dec/19/uber-self-driving-cars-bike-lanes-safety-san-francisco"
2016-12-20 20:20:15+00:00,"Hi @Uber_Support Just got a trip in Colombo where the driver made me pay a toll, stopped for petrol, and still hasn't ended the trip..."
2016-12-20 17:25:56+00:00,"@Uber @Uber_Support @UberUK @UberUKsupport , this driver accepted, I went to get in rolled his window down and said ""fuck you"" &amp; drove away pic.twitter.com/SaSuTZM1LY"
2016-12-20 13:37:01+00:00,I was in #ATX this weekend where there is no uber. Rival @fasten worked great w/o background location
2016-12-20 09:49:09+00:00,shit was dumb funny u shoulda been there
2016-12-20 09:38:16+00:00,Ard BET
2016-12-20 01:21:16+00:00,hey my uber driver is harassing me? @Uber_Support 
2016-12-19 15:17:19+00:00,So @Uber_India @Uber @Uber_Support Tells me that paying via credit card when booking for other is a FEATURE to be introduced. Ridiculous.
2016-12-19 13:39:31+00:00,Hey @Uber_Support one of your drivers has my phone in you whip! I'm going to bed that back 
2016-12-19 08:48:25+00:00,Uber isn't a taxi service. They don't check drivers' fitness to drive passengers #risky @talkingkrit @TheCLASSYKiddo @Uber @Uber_Support
2016-12-19 08:28:41+00:00,Poor effort from @Uber all around. @Uber_Support 
2016-12-19 05:59:01+00:00,"Seriously @Uber_Support another iOS update, but still no mention of the color of the driver's car???"
2016-12-19 00:43:22+00:00,UberEATS delivered me a delicious kit but I ordered a Roland digi piano help
2016-12-18 22:37:32+00:00,"hey @Uber_Support, @Uber_Pol , @uber_WAW any chance you stop f*cking up in every conceivable way and take my case seriously? It’s been 3 wks"
2016-12-18 22:35:55+00:00,@uber @Uber_Support @Uber_UAE @Uber_Brasil @Uber_BOS @Uber_NJ Help Help help #helpUber
2016-12-18 22:27:42+00:00,@Uber @Uber_Support Help 
2016-12-18 09:48:45+00:00,Not ok when @Uber decide to charge me double time without documenting this clearly before my ride. @Uber_Support
2016-12-18 05:47:30+00:00,I've already contacted the police.. who have classed it as theft!
2016-12-18 03:00:46+00:00,@Uber_Support you probably should look at this @champsuperstar
2016-12-18 00:22:46+00:00,@Uber_India @Uber_Support @UfterYou &amp; yet again dis issue's repeated &amp; u guys havn't evn reslvd d prev 1.y do u giv offrs u don't want 2 giv
2016-12-18 00:04:51+00:00,@Uber_Support I would like a partial refund for my last ride. $17 was the cheapest possible to get to work on time... now it's $5.
2016-12-17 18:13:19+00:00,why @Uber @Uber_Support charge me for a full ride and not just the cancellation fee when i cancelled it
2016-12-17 15:33:31+00:00,"Guys, @uber has given me back my $5, in credit form. We all spent more in time and labor, or at least I did, but thanks, @Uber_Support"
2016-12-17 15:11:04+00:00,". @Uber @UberEATS @Uber_Support after being a customer since 2012 you ""thank me"" by locking account and blocking 907 (state of AK) phone #s?"
2016-12-17 14:40:02+00:00,if I cancel @Uber_Support in less than 5 min I get charged. they cancel in less than 5 I get to call another cab. where's MY fee??
2016-12-17 13:48:19+00:00,Hi @Uber_Support.. I can see 2 extra charges on my card apart from the uber ride I took &amp; haven't received email. Please suggest!!
2016-12-17 07:32:01+00:00,@Uber_Support Why have all the drivers in Toronto area lost the destination feature?
2016-12-17 06:17:20+00:00,really annoyed at @Uber_Support lack of resources for reporting an issue outside of the limited options on their website
2016-12-17 05:58:50+00:00,Seriously about to stop using uber today ..... @Uber_Support
2016-12-17 05:03:50+00:00,.@Uber_Support My friends and I just got taken to NJ against our will and our bill went up by over $40. Not good! Please help!
2016-12-17 05:00:31+00:00,"Please contact in app support so we can help. Meanwhile, please see our cancellation policy: https://help.uber.com/h/6bec690f-ee35-40ba-96ee-c38a8ae796e0"
2016-12-17 04:25:21+00:00,Hey @uber you cancelled twice on me tonight! What gives!?! #notcool #epicfail @Uber_CHI @Uber_Support 
2016-12-16 13:02:43+00:00,So @Uber decides to send us an UberBLACK when we request for an UberX. And then charge us for the Black. Thanks @Uber_Support @Uber_TH #fail
2016-12-16 11:42:13+00:00,Amian Jeannot is a very honest and kind person. Thanks for going out of yr way n making the trip @Uber_Support
2016-12-16 11:10:53+00:00,Update for those interested: @Uber_Support have now started the refund process for the charge 
2016-12-16 11:09:20+00:00,A big big thanks to @Uber_Support 
2016-12-16 09:54:29+00:00,Been 48 hours since I responded to a ticket from @Uber_Support on the whole 'charged for somebody else's vomit' thing. Still no response 
2016-12-16 09:46:10+00:00,@Uber_Support can be exhausting. I got charged a cancellation fee for a ride that was cancelled by the driver! So much admin to reverse it 
2016-12-16 08:21:43+00:00,He ain't no snitch
2016-12-16 08:11:44+00:00,Can you resolve a stolen rent check due to your employees? What else are they stealing @Uber_Support? 
2016-12-16 07:38:26+00:00,@Uber_Support @Uber I seem to have been charged for my ride this morning when I had activated the dstv cape town promotion
2016-12-16 00:14:04+00:00,hey @Uber @Uber_Support are you going resolve the incident where my uber rush messenger stole my rent check that i sent to my landlord?
2016-12-15 22:25:47+00:00,Hey uber @uber_support I like JUST got out the car but it says my last trip was this morning and… https://www.instagram.com/p/BODfKI5jDXH/
2016-12-15 22:15:25+00:00,@Uber_Support Hey @Uber I JUST left my wallet in a car. App's saying my most recent trip was this morning so it won't let me contact driver
2016-12-15 18:29:10+00:00,@RFMB @Uber_Support holy shit????
2016-12-15 16:33:08+00:00,@Uber_Support my friend @doe_eyed_dina was charged over $100 for a $7 ride.....FIX THIS PLEASE
2016-12-15 15:01:09+00:00,"Hey @Uber_Support I've been trying to contact @Uber_Brasil for a while through Twitter and Face, nothing so far. Can you please help me?SOS"
2016-12-15 14:48:14+00:00,Just added @Paytm money for an @Uber ride to travel in #Mumbai but the app refuses to let me go cashless. Yay demonetisation? @Uber_Support
2016-12-15 03:48:26+00:00,Hey @Uber @Uber_Support maybe get your driver's IRL name instead of their internet trolling handle in those checks. 
2016-12-15 03:27:12+00:00,Uber does not train its drivers. No skills on how to treat clients.
2016-12-15 02:57:52+00:00,"What's happening @Uber ? My Paytm has cash, shows zero when I try Uber App. Not allowing me to book a cab. Using Ola now. @Uber_Support"
2016-12-14 23:59:58+00:00,.@Uber @Uber_Support @Uber_NYC I have location turned off on your app. How are you still tracking my location without having the app open???
2016-12-14 23:34:17+00:00,Uber fail @Uber_Support
2016-12-14 23:30:11+00:00,"2 times this week @Uber_Support drivers got lost before picking me up, cancelled, and made me miss my hot yoga class "
2016-12-14 18:29:04+00:00,they is not racist PLEASE develop an understanding of racism
2016-12-14 18:25:06+00:00,Thanks for responding to the matter in a timely fashion & getting it resolved. I'll continue to use your services. @Uber_Support @Uber
2016-12-14 18:02:38+00:00,What pisses me off is if they hate other races so much WHY ARE THEY HERE???
2016-12-14 17:30:49+00:00,"@Uber apparently shut down our account for no apparent reason, been loyal customers for 4 years. Horrible @Uber_Support cc: @felipepreca"
2016-12-14 16:44:16+00:00,you should definitely screenshot the trip details. It should have his picture and name there
2016-12-14 16:33:39+00:00,What's the driver's name?
2016-12-14 16:30:02+00:00,All I can say to that is just...wow I'm so sorry you had to deal w/that kind of ignorance Jerome 
2016-12-14 16:22:49+00:00,"My Uber driver just said ""YOU PEOPLE should start LISTENING to these cops, so you won't get killed!"" Highly Offended! @Uber @Uber_Support "
2016-12-14 15:17:07+00:00,And THEN I got charged for the ride! Are you kidding me? Smh
2016-12-14 09:49:15+00:00,@Uber_Support your Hyderabad India team is not responding...are office live??? 
2016-12-14 00:36:38+00:00,this is very nice only took one hour and ten minutes to respond to a potentially life threatening situation
2016-12-13 10:05:47+00:00,He absolutely didn't have to & it's most appreciated! Has arranged to drop off her phone which was left behind too. Top man @Uber_Support
2016-12-13 10:04:40+00:00,Big to Richard - @uber driver in Southampton who made a call last night when he felt my gf may be in a vulnerable situation @Uber_Support
2016-12-13 02:21:30+00:00,@Uber_Support your driver named Carlos has my phone and won't return any messages.I have emailed you over 10 times and heard nothing back..
2016-12-12 16:52:51+00:00,"Uber, you’ve lost a loyal customer until you stop asking for background location permission. @uber_support"
2016-12-12 16:18:39+00:00,"that's messed up, you OK?"
2016-12-12 15:59:51+00:00,.@Uber_Support: They did and obviously have read nothing I've sent. They requested the screenshot that was already sent. I want my $NOW!
2016-12-12 15:41:26+00:00,@Uber @Uber_India @Uber_Support Why I'm getting such notifications in alien language to me? Im in Maharashtra and its langg is Marathi 
2016-12-12 14:15:26+00:00,She wouldn't!? Yeah.. she needs to removed as a driver! @Uber_Support Glad you canceled and got into another one.
2016-12-12 14:05:15+00:00,So you not gonna make it to my birthday party since your flight is canceled? HELLO @Uber_Support? My birthday is fucking RUINED
2016-12-12 13:33:12+00:00,.@Uber_Support: just curious as to how many more days of runaround and no responses I can expect to get from #Uber #CustomerSupport?
2016-12-12 12:27:02+00:00,@Uber_Support recently had to change my payment methods. Rides were refuse I suppose because the new payment methods were new. How do I know
2016-12-11 20:18:59+00:00,.@Uber_Support ordered an uber to my exam and this guy showed up! My goodness how accurate. I feel personally attacked 
2016-12-11 19:39:24+00:00,"an Uber rider cancelled my trip, left me stranded, AND charged me $5 in Ottawa a few weeks ago"
2016-12-11 16:50:14+00:00,y'all need to not send automated tweets to a thread about safety. Context guys.
2016-12-11 05:58:12+00:00,@Uber @Uber_Support ur @Uber_BLR team is violating govt.policy by calling it Bangalore despite several reminders.Pls change @KannadaGrahaka
2016-12-11 02:34:53+00:00,What reason do you need to kick a young girl in the head?
2016-12-10 20:51:45+00:00,sue @TfLTPH would be more advisable.
2016-12-10 20:36:05+00:00,@taxidriver07 @Uber_Support @Uber @UberUK blimey hope your ok. Sue em.
2016-12-10 20:14:36+00:00,hope you're okay.get a police report and a lawyer.
2016-12-10 20:05:40+00:00,been chased by clueless @Uber_Support drivers there on my bike several times. In wrong direction of car traffic.
2016-12-10 19:28:35+00:00,My Uber app says I'm in the middle of the Indian Ocean and I'm definitely not. Is there any way to fix this @Uber_Support ?
2016-12-10 18:57:17+00:00,@LingeDean @Uber_Support @Uber @UberUK wow and that's safe !!? @Budweiser @BudweiserUK
2016-12-10 09:28:13+00:00,nice. @Uber_Support should probably address this.
2016-12-10 08:24:55+00:00,i emailed you and you did not respond
2016-12-10 05:54:54+00:00,@Uber i checkd my dm. Wat additional ques are u referring to? U said sm1 frm ur team will call me.nw ur saying it cant happen!
2016-12-10 01:51:58+00:00,i believe this is a mistake @Uber_Support 
2016-12-10 01:11:12+00:00,When we booked a ride the payment was just around 300-500 but when we got there this was the one shown on the driver's phone. @uber_support 
2016-12-09 23:54:07+00:00,.@Uber_Support - and please don't patronize me. I've done this and more and no one seems capable of resolving your TRIPLE billing!
2016-12-09 23:26:49+00:00,Second day in a row my uber driver canceled on me and I got charged I expect a promo code or I'm getting lyft @Uber_Support
2016-12-09 22:24:22+00:00,Love when @Uber_Support tells me my pool driver is 4 minutes away for almost 10 minutes and he's not turning down any streets to get here.
2016-12-09 19:32:42+00:00,.@Uber_Support - was TRIPLE billed 2day for UberEATS order. PayPal even called w/ me &amp; your customer support did nothing! Want my $back!
2016-12-09 17:55:34+00:00,tbf i wouldnt want to pay for a car journey that has a side of cancer to compliment it
2016-12-09 17:47:41+00:00,Snitches get...
2016-12-09 17:08:03+00:00,@Uber I guess either u or ur support team dint know in d first place dat u dont have a follow up facility!a big disappointment
2016-12-09 07:37:07+00:00,Omg distance from Philcoa to Amoranto Stadium isn't 33km??? MY FARE's HEINOUS. The estimate earlier was just P165 wtf @Uber_Support @Uber
2016-12-09 07:28:16+00:00,"thank you, I dm'd you. Unfortunately I had an incredibly inappropriate experience on my route home as well."
2016-12-09 04:03:54+00:00,"Our uber driver just called us ""fucking bitches""... excuse me.. who's paying you? @Uber_Support @madiiwhitee @brittanysullo @__marybrown"
2016-12-09 01:45:34+00:00,Hey @Uber_Support your car took me around the corner and was a hot mess so I had to get out &amp; he charged me. Not ok.
2016-12-09 01:19:10+00:00,"additionally, I have it all on time stamped dash-cam footage showing she clearly knew she was at my house."
2016-12-09 01:17:13+00:00,"""someone told her to"" is a direct quote she made at the police station & will be on police report."
2016-12-09 01:16:03+00:00,"@Uber_Support @uber @Uber_SF why did one of your drivers follow me home to take pictures of my cab because ""someone told her to?"
2016-12-08 20:11:35+00:00,.@Uber_CO @Uber_Support been requesting #UberElves all morning. It's cold in Denver! I need a sweater!!
2016-12-08 19:31:04+00:00,"Test run of @UberEATS tomorrow on http://FortThomasMatters.com. Man, my job is tough. Also @Uber_Support - let me know if you want to sponsor ;)"
2016-12-08 18:47:28+00:00,Shout out to Mary and Eduardo from @Uber_Support who helped resolve my situation from yesterday. Much love and gratitude thank you 
2016-12-08 18:45:55+00:00,"We're following up via DM, Kev - be sure to check for our reply in your inbox shortly."
2016-12-08 17:22:28+00:00,and also charges your cc before you get in the car.
2016-12-08 16:57:44+00:00,When @Uber makes unauthorized charges before my ride even starts. Then will not provide support to investigate after. #uber @Uber_Support
2016-12-08 12:29:09+00:00,I think this Christmas @uber @Uber_Support needs to start a membership points system for us frequent customers #wedosomuchforyou
2016-12-08 02:38:14+00:00,you literally cant send the pointer to where it detects my address #largebuilding #lameAF
2016-12-08 00:19:54+00:00,"clearly DESTINATION means where I will be going, not where I'm getting picked up. Did you even read the tweet?"
2016-12-07 23:02:05+00:00,The new @Uber app is pure hell. It's as if they specifically designed it to frustrate longtime users. CC: @UberDevelopers &amp; @Uber_Support
2016-12-07 22:34:11+00:00,"not wrong streets for me, just the alley for some creepy reason "
2016-12-07 22:02:33+00:00,Hey @Uber_Support why can't I change my destination during and uberX ride? Your website says I can but the app doesn't let me
2016-12-07 21:51:25+00:00,just spoke to support. They are refunding the money. Thanks! Not a good experience.
2016-12-07 21:05:28+00:00,I got charged for canceling an uber when the driver was the one who canceled on me @Uber_Support
2016-12-07 20:45:02+00:00,Literally why doesn't @Uber @Uber_Support have a damn hotline!? 
2016-12-07 10:56:47+00:00,"Now @Uber @Uber_Support force me to choose between sharing my location with them ‘always’ or ‘never’, I choose 'never’. "
2016-12-07 07:59:25+00:00,Thats funny because i definitely drove here 3 nights ago @Uber @Uber_Support 
2016-12-07 03:45:33+00:00,@uber_support someone is using my number to request for an http://uber.How do I stop this?I know who it is.Please help
2016-12-06 23:00:51+00:00,".@Uber_Support Still waiting for a response from an email on November 25th, been locked out of my account for weeks..."
2016-12-06 21:11:31+00:00,So glad my @Uber driver gets to drive off with my backpack and ignore phone calls for a day. No such thing as @Uber_Support
2016-12-06 20:42:24+00:00,Wow. @Uber_Support was super #unhelpful. @NBCLA are you following local rider frustrations? @Uber owes me $750. Will never ride again.
2016-12-06 13:51:35+00:00,your app having issues @Uber_Support. 1st it showed distance traveled 2 km for a 52 mins ride. Then it gave some weird discount for Rs 84 
2016-12-06 13:41:53+00:00,"When an @Uber driver doesn't start heading my way for 7+ minutes, a $5 cancellation fee seems unwarranted. Is that an @Uber_Support thing?"
2016-12-06 03:29:58+00:00,@Uber_Support how do I tell you I had an excellent experience and I want that driver to get recognized?!
2016-12-05 22:18:28+00:00,can't believe that--unacceptable!! Telling all my friends to use @lyft from now on!!
2016-12-05 17:49:04+00:00,"never finished installing the Uber app,asks for too many permissions.Why do you need my contacts,call log, my wifi, and camera"
2016-12-05 16:20:09+00:00,"who the driver was and will not be paying for the repair deductible or claiming it on your insurance?... Hi, @lyft (2/2)"
2016-12-05 16:19:52+00:00,"@Uber @Uber_Support 1 of your drivers hits my car, flees, I have a witness, the time &amp; location, and you say you can't determine (1/2)"
2016-12-05 15:08:22+00:00,you guys are smart enough to know that you're not answering the questions. Questions?
2016-12-05 15:05:16+00:00,no. i do not like this. track yalls drivers. the end. i'm going w lyft till this resolved @electraisland
2016-12-05 13:57:04+00:00,Sounds like your finding out where we're going so you can sell the data to advertisers.
2016-12-05 13:44:15+00:00,You should offer an easy opt out without having to turn off location tracking.
2016-12-05 12:18:54+00:00,How does it enhance safety?
2016-12-05 12:10:44+00:00,Explain how it improves experience and safety rather than just telling your customer it does.
2016-12-05 12:06:46+00:00,this is a great ad for lyft
2016-12-05 09:58:39+00:00,"This is kind of weird & creepy. Could you expand on how it ""improves the experience"" so we can try to understand? @Uber_Support"
2016-12-05 09:36:32+00:00,"improves the creepiness. It's okay, I can drive myself :) I'm a big boy lol"
2016-12-05 07:24:10+00:00,"I'll be doing a piece on drivers soon, stay tuned :)"
2016-12-05 03:00:20+00:00,Not saying you are reading these w/ but wanted to be transparent &amp; say @Uber_Support did a good job making me a priority as a customer 
2016-12-05 00:05:00+00:00,Thank you @Uber_Support @UberEATS for your quick response to my issue. Everyone should definitely try the service if it is available.
2016-12-04 21:43:03+00:00,Had to share this from a friend. Thought @Uber @Uber_Support @TCU would like to hear what kind of service Mark is providing...
2016-12-04 17:46:53+00:00,".@Uber_Support Dear, I travel aiims to rajapuri which is only 21km but you charged for 60km. It very big cheating. "
2016-12-03 14:49:59+00:00,"Me too and all @Uber_Support (@Uber_Ottawa) help suggestions are ""leave your number (or a friend's) like ugh "
2016-12-03 14:39:31+00:00,Oh no! Please send a note to http://t.uber.com/contact so we can look into this.
2016-12-03 13:29:51+00:00,@Uber_India @Uber_Support why ur drivers are so slow. Slower than an auto.
2016-12-03 11:40:51+00:00,".@Uber_Support the credits in my @Uber account continually ""fail to load."" Anyone know how I can contact support to fix this quickly?"
2016-12-02 19:43:09+00:00,@ArvindGaur @Uber_Support still no response from your place
2016-12-02 19:24:55+00:00,".@Uber_Support like I said, give me granular control, please."
2016-12-02 18:52:08+00:00,"How about starting a marketing campaign to tip during the holiday season instead of ""getting my hustle on""."
2016-12-02 17:57:48+00:00,".@Uber_Support mmnope, app just loads a blank map, no options to do anything. Also, I do want to share it — just only when I’m using the app"
2016-12-02 16:56:33+00:00,"Hey @Uber_Support , how about I enable this if you don't always need my location while in background? Disappointing "
